produto,preco,qtd
Notebook Gamer,5500.00,5
Monitor 27',1200.50,12
Mouse Pad RGB,45.90,20
Webcam 4K,250.00,8
Teclado Mecânico,350.00,10
Cadeira Gamer,900.00,3
Mouse Wireless,75.00,15
Headset Bluetooth,150.00,7
SSD 1TB,450.00,9
Placa de Vídeo RTX 4080,8500.00,2
Notebook Gamer,5200.00,6
Monitor 24',899.90,18
Mouse Pad Simples,19.90,30
Webcam HD,120.00,14
Teclado Sem Fio,180.00,22
Cadeira Office,450.00,16
Mouse Gamer,150.00,11
Headset com Fio,80.00,25
SSD 500GB,280.00,13
Placa de Vídeo GTX 1660,1100.00,4
Fone de Ouvido,120.00,10
Carregador,30.00,50
Cabo USB-C,15.00,60
Adaptador HDMI,40.00,20
Caneta Stylus,60.00,15
Hub USB,55.00,25
Protetor de Tela,25.00,35
Luminária LED,80.00,18
Suporte para Notebook,110.00,7
Mochila para Laptop,200.00,5
Notebook Gamer,5500.00,4
Monitor 27',1200.50,10
Mouse Pad RGB,45.90,25
Webcam 4K,250.00,9
Teclado Mecânico,350.00,11
Cadeira Gamer,900.00,2
Mouse Wireless,75.00,16
Headset Bluetooth,150.00,8
SSD 1TB,450.00,10
Placa de Vídeo RTX 4080,8500.00,3
Notebook Gamer,5200.00,7
Monitor 24',899.90,19
Mouse Pad Simples,19.90,35
Webcam HD,120.00,15
Teclado Sem Fio,180.00,20
Cadeira Office,450.00,18
Mouse Gamer,150.00,12
Headset com Fio,80.00,28
SSD 500GB,280.00,14
Placa de Vídeo GTX 1660,1100.00,5
Fone de Ouvido,120.00,12
Carregador,30.00,55
Cabo USB-C,15.00,65
Adaptador HDMI,40.00,22
Caneta Stylus,60.00,18
Hub USB,55.00,28
Protetor de Tela,25.00,40
Luminária LED,80.00,20
Suporte para Notebook,110.00,9
Mochila para Laptop,200.00,6
Notebook Gamer,5500.00,5
Monitor 27',1200.50,11
Mouse Pad RGB,45.90,22
Webcam 4K,250.00,7
Teclado Mecânico,350.00,13
Cadeira Gamer,900.00,4
Mouse Wireless,75.00,14
Headset Bluetooth,150.00,9
SSD 1TB,450.00,11
Placa de Vídeo RTX 4080,8500.00,1
Notebook Gamer,5200.00,8
Monitor 24',899.90,20
Mouse Pad Simples,19.90,40
Webcam HD,120.00,16
Teclado Sem Fio,180.00,25
Cadeira Office,450.00,20
Mouse Gamer,150.00,13
Headset com Fio,80.00,30
SSD 500GB,280.00,15
Placa de Vídeo GTX 1660,1100.00,6
Fone de Ouvido,120.00,14
Carregador,30.00,60
Cabo USB-C,15.00,70
Adaptador HDMI,40.00,25
Caneta Stylus,60.00,20
Hub USB,55.00,30
Protetor de Tela,25.00,45
Luminária LED,80.00,22
Suporte para Notebook,110.00,10
Mochila para Laptop,200.00,7
Notebook Gamer,5500.00,6
Monitor 27',1200.50,13
Mouse Pad RGB,45.90,28
Webcam 4K,250.00,10
Teclado Mecânico,350.00,14
Cadeira Gamer,900.00,5
Mouse Wireless,75.00,18
Headset Bluetooth,150.00,10
SSD 1TB,450.00,12
Placa de Vídeo RTX 4080,8500.00,4
